Altium Designer Pick and Place Locations
D:\Arduino_pcb\Project Outputs for Arduino_pcb\PICK AND PLACE\Pick Place for Arduino_pcb_PCB.txt

========================================================================================================================
File Design Information:

Date:       14/10/20
Time:       21:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator    Comment                                                          Layer    Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Z2            CG0603MLC-05E                                                    TopLayer R0603                  287.402       728.346       270      "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Z1            CG0603MLC-05E                                                    TopLayer R0603                  287.402       842.520       90       "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Y2            ABM7-16.000MHZ-D2Y-T                                             TopLayer ABM7_BIG               1728.347      1118.110      360      "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Y1            ABM7-16.000MHZ-D2Y-T                                             TopLayer ABM7_BIG               984.252       1114.173      270      "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
U7            SN74AHC1G09DBVR                                                  TopLayer DBV_SOT_23_5           240.158       1035.433      90       "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U6            SN74AHC1G09DBVR                                                  TopLayer DBV_SOT_23_5           854.331       590.551       360      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U5            SN74AHC1G09DBVR                                                  TopLayer DBV_SOT_23_5           2606.300      627.951       270      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U4            SN74AHC1G09DBVR                                                  TopLayer DBV_SOT_23_5           712.598       1732.283      0        "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U3            ATMEGA328P-PU                                                    TopLayer 28_DIP_7.62MM          1816.536      645.000       270      "ATMEGA328P-PU; 8 bit Microcontroller AVR 20MHz 1; 32kb Flash; 2kb RAM; I2C SPI 2"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
U2            3.3V_REG                                                         TopLayer DCQR_PDSO_3.3          637.796       578.741       90       "IC REG LINEAR 3.3V 1.5A SOT223-6"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
U1            "MICROCHIP - ATMEGA16U2-AU - MCU, 8BIT, MEGAAVR, 16MHZ, TQFP-32" TopLayer TQFB32                 606.299       1181.102      180      "MICROCHIP - ATMEGA16U2-AU - MCU, 8BIT, MEGAAVR, 16MHZ, TQFP-32"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SW2           1825910-6                                                        TopLayer SW_1825910-6           877.953       196.850       360      "SWITCH TACTILE SPST-NO 0.05A 24V"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SW1           1825910-6                                                        TopLayer SW_1825910-6           2503.936      1122.048      270      "SWITCH TACTILE SPST-NO 0.05A 24V"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SOCKET_for_U1 28_dip_socket                                                    TopLayer DIP_28_SOCKET          -17500.000    -17500.000    270      "CONN IC DIP SOCKET 28POS TIN"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R28           22R                                                              TopLayer R0805                  82.677        996.064       360      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R27           22R                                                              TopLayer R0805                  1090.551      362.204       180      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R26           22R                                                              TopLayer R0805                  2555.118      921.260       270      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R25           560R                                                             TopLayer R0805                  984.252       590.551       90       "Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
R24           10K                                                              TopLayer R0805                  114.174       1122.047      90       "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R23           10K                                                              TopLayer R0805                  1070.866      248.032       270      "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R22           10K                                                              TopLayer R0805                  2637.796      917.322       270      "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R21           10K                                                              TopLayer R0805                  2641.734      783.465       90       "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R20           560R                                                             TopLayer R0805                  2348.425      1500.000      180      "Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
R19           560R                                                             TopLayer R0805                  952.848       1685.040      360      "Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
